state_accident_id, vehicle_number, age, sex, person_type, injury_severity
14335369, 1, 51.0, 2.0, DRIVER, U - UNKNOWN
14328557, 1, 27.0, 1.0, DRIVER, U - UNKNOWN
14335380, 1, 65.0, 1.0, DRIVER, U - UNKNOWN
14331642, 1, 86.0, 1.0, DRIVER, U - UNKNOWN
14341357, 1, 50.0, 1.0, DRIVER, U - UNKNOWN
14306356, 2, 44.0, 2.0, DRIVER, U - UNKNOWN
14306356, 1, 35.0, 1.0, DRIVER, U - UNKNOWN
14328570, 1, 17.0, 2.0, DRIVER, U - UNKNOWN
14316770, 2, 75.0, 1.0, DRIVER, U - UNKNOWN
14316770, 3, 25.0, 2.0, DRIVER, U - UNKNOWN
14316770, 1, 23.0, 1.0, DRIVER, U - UNKNOWN
14316773, 2, 29.0, 2.0, DRIVER, U - UNKNOWN
14316773, 1, 64.0, 2.0, DRIVER, U - UNKNOWN
14331655, 1, 54.0, 1.0, DRIVER, U - UNKNOWN
14331655, 2, nan, 3.0, DRIVER, U - UNKNOWN
14324092, 1, 24.0, 1.0, DRIVER, U - UNKNOWN
14311258, 1, 66.0, 2.0, DRIVER, U - UNKNOWN
14341411, 1, 18.0, 1.0, DRIVER, U - UNKNOWN
14337782, 1, 48.0, 1.0, DRIVER, U - UNKNOWN
14341471, 2, 66.0, 2.0, DRIVER, U - UNKNOWN
14341471, 1, 91.0, 1.0, DRIVER, U - UNKNOWN
14306399, 1, 59.0, 1.0, DRIVER, U - UNKNOWN
14306399, 2, 85.0, 2.0, DRIVER, U - UNKNOWN
14306400, 1, 84.0, 2.0, DRIVER, U - UNKNOWN
14341546, 1, 58.0, 2.0, DRIVER, U - UNKNOWN
14316850, 1, 33.0, 1.0, DRIVER, U - UNKNOWN
14331701, 1, 51.0, 2.0, DRIVER, U - UNKNOWN
14328622, 1, 55.0, 1.0, DRIVER, U - UNKNOWN
14328622, 2, 27.0, 2.0, DRIVER, U - UNKNOWN
14324122, 1, 40.0, 1.0, DRIVER, U - UNKNOWN
14303242, 1, 58.0, 1.0, DRIVER, U - UNKNOWN
14344352, 1, 74.0, 1.0, DRIVER, U - UNKNOWN
14344352, 2, nan, 3.0, DRIVER, U - UNKNOWN
14324145, 1, 19.0, 2.0, DRIVER, U - UNKNOWN
14324145, 2, 37.0, 2.0, DRIVER, U - UNKNOWN
14320298, 1, 50.0, 2.0, DRIVER, U - UNKNOWN
14320298, 2, 59.0, 2.0, DRIVER, U - UNKNOWN
14341930, 1, 29.0, 1.0, DRIVER, U - UNKNOWN
14341930, 2, 76.0, 1.0, DRIVER, U - UNKNOWN
14320313, 1, 20.0, 2.0, DRIVER, U - UNKNOWN
14320313, 3, 43.0, 2.0, DRIVER, U - UNKNOWN
14320313, 2, 37.0, 1.0, DRIVER, U - UNKNOWN
14320339, 1, 23.0, 1.0, DRIVER, U - UNKNOWN
14320339, 2, 48.0, 2.0, DRIVER, U - UNKNOWN
14313452, 2, 43.0, 1.0, DRIVER, U - UNKNOWN
14313452, 1, 22.0, 1.0, DRIVER, U - UNKNOWN
14303284, 1, 29.0, 1.0, DRIVER, U - UNKNOWN
14311329, 1, 51.0, 1.0, DRIVER, U - UNKNOWN
14311329, 2, 21.0, 1.0, DRIVER, U - UNKNOWN
14337852, 1, 29.0, 1.0, DRIVER, U - UNKNOWN
14337858, 1, 23.0, 1.0, DRIVER, U - UNKNOWN
14320360, 1, 37.0, 2.0, DRIVER, U - UNKNOWN
14331774, 2, 42.0, 2.0, DRIVER, U - UNKNOWN
14331774, 1, 19.0, 1.0, DRIVER, U - UNKNOWN
14316941, 1, 42.0, 1.0, DRIVER, U - UNKNOWN
14316941, 4, 37.0, 2.0, DRIVER, U - UNKNOWN
14316941, 2, 49.0, 1.0, DRIVER, U - UNKNOWN
14316941, 3, 45.0, 1.0, DRIVER, U - UNKNOWN
14311368, 2, 30.0, 2.0, DRIVER, U - UNKNOWN
14311368, 1, 55.0, 2.0, DRIVER, U - UNKNOWN
14311368, 3, 57.0, 1.0, DRIVER, U - UNKNOWN
14344640, 2, nan, 3.0, DRIVER, U - UNKNOWN
14344640, 1, 28.0, 2.0, DRIVER, U - UNKNOWN
14344641, 1, 42.0, 1.0, DRIVER, U - UNKNOWN
14342097, 2, 20.0, 1.0, DRIVER, U - UNKNOWN
14342097, 1, 34.0, 1.0, DRIVER, U - UNKNOWN
14331789, 1, 35.0, 1.0, DRIVER, U - UNKNOWN
14344662, 2, 63.0, 1.0, DRIVER, U - UNKNOWN
14344662, 1, 45.0, 1.0, DRIVER, U - UNKNOWN
14311393, 1, 24.0, 1.0, DRIVER, U - UNKNOWN
14311393, 2, 66.0, 1.0, DRIVER, U - UNKNOWN
14337874, 1, 57.0, 1.0, DRIVER, U - UNKNOWN
14317001, 2, 47.0, 2.0, DRIVER, U - UNKNOWN
14317001, 1, 31.0, 2.0, DRIVER, U - UNKNOWN
14332709, 1, 58.0, 2.0, DRIVER, U - UNKNOWN
14306568, 1, 23.0, 2.0, DRIVER, U - UNKNOWN
14306568, 2, 52.0, 2.0, DRIVER, U - UNKNOWN
14311433, 1, 38.0, 2.0, DRIVER, U - UNKNOWN
14317005, 2, 33.0, 1.0, DRIVER, U - UNKNOWN
14317005, 1, 68.0, 1.0, DRIVER, U - UNKNOWN
14332724, 1, 41.0, 1.0, DRIVER, U - UNKNOWN
14332724, 2, 90.0, 1.0, DRIVER, U - UNKNOWN
14344756, 1, nan, 3.0, DRIVER, U - UNKNOWN
14328779, 1, 67.0, 1.0, DRIVER, U - UNKNOWN
14306591, 1, 68.0, 1.0, DRIVER, U - UNKNOWN
14337917, 1, 27.0, 1.0, DRIVER, U - UNKNOWN
14337917, 2, 23.0, 1.0, DRIVER, U - UNKNOWN
14311461, 1, 41.0, 2.0, DRIVER, U - UNKNOWN
14303400, 1, 22.0, 2.0, DRIVER, U - UNKNOWN
14303400, 3, 37.0, 1.0, DRIVER, U - UNKNOWN
14303400, 4, 21.0, 1.0, DRIVER, U - UNKNOWN
14303400, 2, 94.0, 1.0, DRIVER, U - UNKNOWN
14335670, 1, 26.0, 1.0, DRIVER, U - UNKNOWN
14344800, 1, 54.0, 1.0, DRIVER, U - UNKNOWN
14344800, 2, 24.0, 1.0, DRIVER, U - UNKNOWN
14313793, 1, 87.0, 1.0, DRIVER, U - UNKNOWN
14332938, 1, 17.0, 2.0, DRIVER, U - UNKNOWN
14328806, 1, 54.0, 1.0, DRIVER, U - UNKNOWN
14335714, 1, 41.0, 2.0, DRIVER, U - UNKNOWN
14317094, 1, 32.0, 2.0, DRIVER, U - UNKNOWN
14342769, 1, 19.0, 2.0, DRIVER, U - UNKNOWN
14324677, 1, 60.0, 1.0, DRIVER, U - UNKNOWN
14320524, 4, 38.0, 2.0, DRIVER, U - UNKNOWN
14320524, 1, 53.0, 1.0, DRIVER, U - UNKNOWN
