state_accident_id,vehicle_number,body_type
13052285,1,PICK-UP TRUCK
13052365,1,SUBURBAN
13052460,1,SUBURBAN
13052598,1,4 DOOR SEDAN
13052603,1,4 DOOR SEDAN
13052829,1,2 DOOR SEDAN
13052832,1,4 DOOR SEDAN
13052855,1,4 DOOR SEDAN
13052855,2,DUMP TRUCK
13052865,1,VAN TRUCK
13052868,1,PICK-UP TRUCK
13052884,1,SUBURBAN
13052884,2,4 DOOR SEDAN
13052903,1,SUBURBAN
13053003,1,SUBURBAN
13053011,1,BUS (OMNIBUS)
13053072,1,4 DOOR SEDAN
13053072,2,4 DOOR SEDAN
13053175,1,PICK-UP TRUCK
13053192,1,4 DOOR SEDAN
13053192,2,2 DOOR SEDAN
13053335,1,4 DOOR SEDAN
13053486,1,SUBURBAN
13053486,2,4 DOOR SEDAN
13053574,2,SUBURBAN
13053574,1,2 DOOR SEDAN
13053596,1,SUBURBAN
13053640,1,2 DOOR SEDAN
13053719,1,VAN TRUCK
13053891,1,2 DOOR SEDAN
13053891,2,4 DOOR SEDAN
13053961,1,4 DOOR SEDAN
13053961,2,4 DOOR SEDAN
13053982,2,2 DOOR SEDAN
13053982,1,SUBURBAN
13054040,1,SUBURBAN
13054056,1,4 DOOR SEDAN
13054056,2,DUMP TRUCK
13054061,1,SUBURBAN
13054071,1,PICK-UP TRUCK
13054099,1,4 DOOR SEDAN
13054099,2,TRACTOR
13054141,1,4 DOOR SEDAN
13054173,1,SUBURBAN
13054173,2,SUBURBAN
13054193,1,4 DOOR SEDAN
13054226,1,SUBURBAN
13054231,1,SUBURBAN
13054293,2,SUBURBAN
13054293,1,SUBURBAN
13054312,1,PICK-UP TRUCK
13054331,1,4 DOOR SEDAN
13054402,1,SUBURBAN
13054495,1,4 DOOR SEDAN
13054505,1,BUS (OMNIBUS)
13054509,1,SUBURBAN
13054593,1,2 DOOR SEDAN
13054831,1,4 DOOR SEDAN
13054831,2,SUBURBAN
13054837,1,SUBURBAN
13054837,2,4 DOOR SEDAN
13055056,2,SUBURBAN
13055056,1,POLICE
13055057,3,VAN TRUCK
13055057,2,4 DOOR SEDAN
13055057,1,SUBURBAN
13055133,1,4 DOOR SEDAN
13055251,1,PICK-UP TRUCK
13055321,1,4 DOOR SEDAN
13055356,1,2 DOOR SEDAN
13055356,2,PICK-UP TRUCK
13055416,1,4 DOOR SEDAN
13055429,1,PICK-UP TRUCK
13055429,2,4 DOOR SEDAN
13055431,1,SUBURBAN
13055431,2,4 DOOR SEDAN
13055431,3,4 DOOR SEDAN
13055469,1,SUBURBAN
13055469,2,4 DOOR SEDAN
13055474,1,PICK-UP TRUCK
13055474,2,4 DOOR SEDAN
13055474,3,4 DOOR SEDAN
13055474,4,SUBURBAN
13055478,1,4 DOOR SEDAN
13055478,2,4 DOOR SEDAN
13055522,1,4 DOOR SEDAN
13055522,2,4 DOOR SEDAN
13055959,1,SUBURBAN
13055959,2,4 DOOR SEDAN
13055959,3,2 DOOR SEDAN
13056109,1,4 DOOR SEDAN
13056109,2,UNKNOWN VEHICLE
13056122,1,2 DOOR SEDAN
13056278,1,VAN TRUCK
13056315,1,SUBURBAN
13056315,2,4 DOOR SEDAN
13056354,1,4 DOOR SEDAN
13056354,2,PICK-UP TRUCK
13056376,1,SUBURBAN
13056376,3,4 DOOR SEDAN
13056391,1,SUBURBAN
13056411,1,PICK-UP TRUCK
13056411,2,TAXI
13056498,1,4 DOOR SEDAN
13056567,1,4 DOOR SEDAN
13056570,1,PICK-UP TRUCK
13056609,2,SUBURBAN
13056609,1,2 DOOR SEDAN
13056717,1,4 DOOR SEDAN
13056954,1,SUBURBAN
13057014,1,4 DOOR SEDAN
13057014,2,4 DOOR SEDAN
13057014,3,SUBURBAN
13057140,1,4 DOOR SEDAN
13057140,3,SUBURBAN
13057143,1,4 DOOR SEDAN
13057143,3,UNKNOWN VEHICLE
13057170,1,2 DOOR SEDAN
13057170,2,4 DOOR SEDAN
13057187,1,UNKNOWN VEHICLE
13057197,1,PICK-UP TRUCK
13057228,1,4 DOOR SEDAN
13057300,1,4 DOOR SEDAN
13057359,1,4 DOOR SEDAN
13057488,1,SUBURBAN
13057488,2,4 DOOR SEDAN
13057491,1,SUBURBAN
13057524,1,4 DOOR SEDAN
13057610,1,4 DOOR SEDAN
13057610,2,SUBURBAN
13057641,1,4 DOOR SEDAN
13057656,1,PICK-UP TRUCK
13057658,1,PICK-UP TRUCK
13057660,2,4 DOOR SEDAN
13057660,1,UNKNOWN VEHICLE
13057670,1,SUBURBAN
13057957,2,UNKNOWN VEHICLE
13057957,1,SUBURBAN
13058019,2,SUBURBAN
13058019,1,SUBURBAN
13058041,1,DUMP TRUCK
13058041,2,4 DOOR SEDAN
13058140,1,2 DOOR SEDAN
13058140,2,PICK-UP TRUCK
13058231,1,4 DOOR SEDAN
13058231,2,SUBURBAN
13058431,1,4 DOOR SEDAN
13058539,1,2 DOOR SEDAN
13058547,1,TAXI
13058547,2,TAXI
13058624,1,SUBURBAN
13058624,2,4 DOOR SEDAN
13058669,1,4 DOOR SEDAN
13058669,2,PICK-UP TRUCK
13058669,3,UNKNOWN TRUCK
13058681,1,4 DOOR SEDAN
13058681,2,VAN TRUCK
13058721,1,4 DOOR SEDAN
13058721,2,4 DOOR SEDAN
13058804,2,2 DOOR SEDAN
13058804,1,4 DOOR SEDAN
13058805,1,2 DOOR SEDAN
13058808,1,4 DOOR SEDAN
13058809,2,4 DOOR SEDAN
13058809,1,TRACTOR
