state_accident_id,vehicle_number,age,sex,person_type,injury_severity
17154476,1,38.0,1.0,DRIVER,U - UNKNOWN
17154487,1,20.0,1.0,DRIVER,U - UNKNOWN
17154489,1,43.0,1.0,DRIVER,U - UNKNOWN
17154533,1,62.0,1.0,DRIVER,U - UNKNOWN
17154533,2,54.0,1.0,DRIVER,U - UNKNOWN
17154612,1,57.0,1.0,DRIVER,U - UNKNOWN
17154615,1,67.0,1.0,DRIVER,U - UNKNOWN
17154620,1,33.0,1.0,DRIVER,U - UNKNOWN
17154620,2,52.0,1.0,DRIVER,U - UNKNOWN
17154628,1,32.0,1.0,DRIVER,U - UNKNOWN
17154635,1,22.0,1.0,DRIVER,U - UNKNOWN
17154645,2,76.0,1.0,DRIVER,U - UNKNOWN
17154645,1,22.0,1.0,DRIVER,U - UNKNOWN
17154833,2,67.0,2.0,DRIVER,U - UNKNOWN
17154833,1,28.0,2.0,DRIVER,U - UNKNOWN
17155033,2,87.0,1.0,DRIVER,U - UNKNOWN
17155033,1,72.0,1.0,DRIVER,U - UNKNOWN
17155084,1,61.0,2.0,DRIVER,U - UNKNOWN
17155204,1,nan,3.0,DRIVER,U - UNKNOWN
17155240,1,71.0,2.0,DRIVER,U - UNKNOWN
17155397,1,17.0,2.0,DRIVER,U - UNKNOWN
17155477,2,28.0,2.0,DRIVER,U - UNKNOWN
17155477,3,46.0,1.0,DRIVER,U - UNKNOWN
17155477,1,19.0,1.0,DRIVER,U - UNKNOWN
17155626,1,59.0,1.0,DRIVER,U - UNKNOWN
17155653,2,24.0,2.0,DRIVER,U - UNKNOWN
17155653,1,21.0,2.0,DRIVER,U - UNKNOWN
17155745,2,nan,3.0,DRIVER,U - UNKNOWN
17155745,1,60.0,1.0,DRIVER,U - UNKNOWN
17155825,2,51.0,2.0,DRIVER,U - UNKNOWN
17155825,1,52.0,1.0,DRIVER,U - UNKNOWN
17155825,3,nan,3.0,DRIVER,U - UNKNOWN
17155981,1,30.0,1.0,DRIVER,U - UNKNOWN
17156021,1,41.0,1.0,DRIVER,U - UNKNOWN
17156021,2,26.0,1.0,DRIVER,U - UNKNOWN
17156024,1,50.0,2.0,DRIVER,U - UNKNOWN
17156390,1,54.0,2.0,DRIVER,U - UNKNOWN
17156398,1,20.0,1.0,DRIVER,U - UNKNOWN
17156398,2,nan,3.0,DRIVER,U - UNKNOWN
17156805,1,20.0,1.0,DRIVER,U - UNKNOWN
17156805,2,34.0,1.0,DRIVER,U - UNKNOWN
17156805,4,29.0,2.0,DRIVER,U - UNKNOWN
17156805,3,67.0,1.0,DRIVER,U - UNKNOWN
17156837,2,32.0,2.0,DRIVER,U - UNKNOWN
17156837,1,19.0,1.0,DRIVER,U - UNKNOWN
17156906,2,68.0,2.0,DRIVER,U - UNKNOWN
