,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
206590,2013119332,1,4.0,1.0,1,1995.0,BUIC,0,P4D,1.0
206666,2013109141,1,,31.0,30,,,0,,
206667,2013109141,2,2.0,1.0,1,2013.0,FORD,0,PCP,1.0
206738,2013076028,1,15.0,6.0,1,2011.0,JEEP,0,T4W,1.0
206789,2013030000,1,15.0,6.0,1,2003.0,CHEV,0,PUT,1.0
206858,2013028191,1,5.0,1.0,1,2012.0,SUZI,0,P4H,1.0
206979,2013039264,1,4.0,1.0,1,2004.0,MAZD,0,P4D,1.0
206980,2013039264,2,51.0,4.0,1,2000.0,CHEV,0,TPK,1.0
207067,2013054193,1,4.0,1.0,1,1999.0,MITS,0,P4D,1.0
207068,2013054193,2,15.0,1.0,1,2013.0,MAZD,0,PUT,1.0
207084,2013031453,1,4.0,1.0,1,2007.0,PONT,0,P4D,1.0
207162,2013121663,1,51.0,4.0,1,2006.0,CHEV,0,T4C,1.0
207163,2013121663,2,15.0,6.0,1,2004.0,CHEV,0,PUT,1.0
207164,2013121663,3,15.0,6.0,1,2008.0,SUZI,0,PUT,1.0
207165,2013121663,4,15.0,6.0,1,2004.0,ACUR,0,PUT,1.0
207203,2013033769,1,15.0,6.0,1,2003.0,HYUN,0,PUT,1.0
207204,2013033769,2,4.0,1.0,1,2013.0,VOLK,0,P4D,1.0
207205,2013033769,3,4.0,1.0,1,2009.0,NISS,0,P4D,1.0
207237,2013071042,1,20.0,2.0,1,2003.0,HD,0,MRS,1.0
207276,2013128190,1,4.0,1.0,1,1999.0,,0,P4D,1.0
207277,2013128190,2,4.0,1.0,2,2013.0,HYUN,1,P4D,2.0
207278,2013128190,3,5.0,1.0,1,2005.0,PONT,0,P4H,1.0
207279,2013128190,4,51.0,4.0,1,2008.0,CHEV,0,TPK,1.0
207367,2014009987,1,3.0,1.0,1,1995.0,TOYT,0,P2H,3.0
207368,2014009987,2,,31.0,30,,,0,,
207369,2014009987,3,15.0,6.0,2,2001.0,HYUN,1,PUT,2.0
207455,2013007836,1,75.0,5.0,1,1994.0,OTHR,0,TTR,1.0
207456,2013007836,2,1.0,1.0,1,2008.0,OTHR,0,PCV,1.0
207516,2013028129,1,3.0,1.0,1,1996.0,FORD,0,P2H,1.0
207548,2013089714,1,12.0,7.0,1,2011.0,DODG,0,PSV,1.0
207597,2013066614,1,15.0,6.0,1,2001.0,CHEV,0,PUT,1.0
207598,2013066614,2,20.0,2.0,1,2000.0,YAMA,0,MRS,1.0
207618,2013081097,1,28.0,2.0,1,1993.0,HOND,0,MRC,1.0
207619,2013081097,2,15.0,1.0,1,2005.0,DODG,0,PUT,1.0
207653,2013114420,1,15.0,6.0,1,2004.0,INFI,0,PUT,1.0
207654,2013114420,2,,20.0,30,,,0,,1.0
207663,2013089597,1,,31.0,30,,,0,,
207664,2013089597,2,15.0,6.0,5,2008.0,CHEV,0,PUT,4.0
207673,2013028572,1,6.0,1.0,1,2000.0,FORD,0,PSW,1.0
207674,2013028572,2,4.0,1.0,1,1987.0,BUIC,0,P4D,1.0
207807,2013103214,1,75.0,5.0,1,2003.0,FRHT,0,TTR,1.0
207859,2013087606,1,4.0,1.0,1,2013.0,CHEV,0,P4D,1.0
207860,2013087606,2,4.0,1.0,2,2006.0,BMW,1,P4D,2.0
207861,2013087606,3,15.0,1.0,2,2006.0,CHRY,1,PUT,2.0
207862,2013087606,4,2.0,1.0,2,2005.0,HOND,1,PCP,2.0
207863,2013087606,5,15.0,6.0,2,2006.0,CHEV,1,PUT,2.0
207871,2013099201,1,15.0,1.0,1,2005.0,TOYT,0,PUT,1.0
207872,2013099201,2,51.0,4.0,1,2011.0,FORD,0,T4C,1.0
207888,2013110328,1,51.0,4.0,1,2008.0,CHEV,0,TPK,1.0
207900,2013026541,1,4.0,1.0,1,1995.0,TOYT,0,P4D,1.0
207967,2013028129,2,51.0,5.0,2,2012.0,FRHT,1,TCC,2.0
207968,2013028129,3,51.0,5.0,2,2010.0,FRHT,1,TCC,2.0
208137,2013071322,1,4.0,1.0,1,1994.0,TOYT,0,P4D,1.0
208144,2013022526,1,15.0,6.0,1,1994.0,JEEP,0,T4W,1.0
208165,2013025035,1,12.0,1.0,1,2003.0,CHRY,0,PSV,1.0
208166,2013025035,2,73.0,5.0,1,2002.0,MACK,0,TTB,1.0
208228,2013062728,1,28.0,2.0,1,2013.0,KAWK,0,MRC,1.0
208509,2014007758,1,51.0,4.0,1,2005.0,FORD,0,TCW,1.0
208544,2013067165,1,51.0,4.0,1,2005.0,TOYT,0,T4C,1.0
208578,2013016361,1,15.0,6.0,1,2002.0,FORD,0,PUT,1.0
208579,2013016361,2,3.0,1.0,1,2001.0,FORD,0,P3P,1.0
208615,2013058669,1,41.0,7.0,1,2002.0,FORD,0,TES,1.0
208616,2013058669,2,,20.0,30,,,0,,2.0
208647,2013022526,2,,31.0,30,,,0,,
208791,2013050090,1,15.0,7.0,1,2004.0,DODG,0,PUT,1.0
208792,2013050090,2,4.0,1.0,1,2012.0,HYUN,0,P4D,1.0
208806,2013020789,1,15.0,6.0,1,2002.0,FORD,0,PUT,1.0
208809,2013079745,1,2.0,1.0,1,2005.0,CHEV,0,PCP,1.0
208810,2013079745,2,75.0,5.0,1,2006.0,OTHR,0,TTR,1.0
208896,2013086024,1,4.0,1.0,1,2000.0,DODG,0,P4D,1.0
208897,2013086024,2,,31.0,30,,,0,,
208953,2013129558,1,12.0,1.0,1,2013.0,DODG,0,PSV,1.0
208959,2013069792,1,15.0,6.0,1,2004.0,FORD,0,PUT,1.0
208960,2013069792,2,6.0,6.0,1,1999.0,SUBA,0,PSW,1.0
209001,2013030594,1,24.0,13.0,1,,OTHR,0,,1.0
209115,2013092404,1,4.0,1.0,1,2000.0,PONT,0,P4D,1.0
209120,2013125414,1,12.0,7.0,1,2012.0,KIA,0,PSV,1.0
209153,2013117874,1,69.0,4.0,1,1994.0,FORD,0,TYY,1.0
209154,2013117874,2,4.0,1.0,1,2004.0,PONT,0,P4D,1.0
209211,2014011554,1,15.0,1.0,1,2008.0,GMC,0,T4W,1.0
209212,2014011554,2,75.0,5.0,1,2001.0,PTRB,0,TTR,1.0
209220,2013115440,1,4.0,1.0,1,1999.0,CHEV,0,P4D,1.0
209221,2013115440,2,2.0,1.0,1,2005.0,HOND,0,PCP,1.0
209226,2013043280,1,51.0,4.0,1,2003.0,CHEV,0,TCW,1.0
209227,2013043280,2,4.0,1.0,1,2006.0,CHEV,0,P4D,1.0
209228,2013043280,3,75.0,5.0,1,2007.0,KNNW,0,TTR,1.0
209250,2013094409,1,51.0,4.0,1,2007.0,FORD,0,T4C,1.0
209251,2013094409,2,,20.0,30,,,0,,1.0
209252,2013093971,1,29.0,2.0,1,1981.0,KAWK,0,,1.0
209320,2014006999,1,2.0,1.0,1,1999.0,FORD,0,PCP,1.0
209321,2014006999,2,20.0,2.0,1,2001.0,HD,0,MRS,1.0
209322,2014006999,3,4.0,1.0,1,2008.0,BMW,0,P4D,1.0
209363,2013050852,1,24.0,13.0,1,2012.0,OTHR,0,MAT,1.0
209399,2013111574,1,4.0,1.0,1,2003.0,DODG,0,P4D,1.0
209445,2013123799,1,28.0,2.0,1,2002.0,HOND,0,MRC,1.0
209456,2013083185,1,29.0,2.0,1,2011.0,HD,0,,1.0
209457,2013083185,2,4.0,1.0,2,2005.0,MAZD,1,P4D,2.0
209603,2013046479,1,12.0,7.0,5,2001.0,CHRY,0,PSV,4.0
209604,2013046479,2,29.0,2.0,1,1999.0,OTHR,0,,1.0
209669,2013039989,1,4.0,1.0,1,2008.0,NISS,0,P4D,1.0
209683,2013098583,1,,31.0,30,,,0,,
209684,2013098583,2,3.0,1.0,1,2000.0,MITS,0,P2H,1.0
209735,2013011095,1,4.0,1.0,1,2003.0,CHEV,0,P4D,1.0
209802,2013130816,1,6.0,1.0,1,1995.0,SUBA,0,PSW,1.0
209803,2013130816,2,,31.0,30,,,0,,
209819,2014002077,1,4.0,1.0,1,1988.0,CHEV,0,P4D,1.0
209891,2013053392,1,15.0,6.0,1,1999.0,FORD,0,PUT,1.0
209892,2013053392,2,15.0,6.0,1,2002.0,BUIC,0,PUT,1.0
209893,2013111862,1,4.0,1.0,5,2004.0,PONT,0,P4D,3.0
209931,2013098796,1,20.0,2.0,1,2007.0,HD,0,MRS,1.0
209974,2013027029,1,15.0,6.0,1,2013.0,FORD,0,PUT,1.0
209975,2013027029,2,4.0,1.0,1,2001.0,PONT,0,P4D,1.0
209990,2013064764,1,29.0,2.0,1,1999.0,KAWK,0,,1.0
209991,2013064764,2,4.0,1.0,1,2005.0,FORD,0,P4D,1.0
210115,2013059354,1,4.0,1.0,1,2005.0,HYUN,0,P4D,1.0
210116,2013059354,2,28.0,2.0,1,2008.0,HOND,0,MRC,1.0
210117,2013085413,1,19.0,6.0,1,2012.0,HOND,0,,1.0
210118,2013085413,2,20.0,2.0,1,2004.0,HD,0,MRS,1.0
210132,2013057542,1,2.0,1.0,1,2004.0,CHRY,0,PCP,1.0
210133,2013057542,2,15.0,6.0,1,2005.0,CHEV,0,PUT,1.0
210303,2013100553,1,,20.0,30,,,0,,1.0
210304,2013100553,2,,99.0,5,,OTHR,0,,4.0
210305,2013111862,2,,20.0,30,,,0,,1.0
210327,2013036407,1,15.0,6.0,1,2007.0,LEXS,0,PUT,1.0
210400,2013134270,1,75.0,5.0,1,2007.0,FRHT,0,TTR,1.0
210401,2013134270,2,73.0,7.0,1,1984.0,CHEV,0,TIC,1.0
210460,2013048016,1,28.0,2.0,1,2009.0,YAMA,0,MRC,1.0
210461,2013048016,2,29.0,2.0,51,,,0,,1.0
210567,2014021914,1,20.0,2.0,1,2003.0,HD,0,MRS,1.0
210574,2013086236,1,29.0,2.0,5,,,0,,4.0
210575,2013086236,2,,31.0,30,,,0,,
