,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,HOUR_OF_DAY,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
25474,2020052658,39.964327,-75.837314,15,15207,6,2,,,1,0,2
25494,2020007611,39.828494,-79.30765,55,55213,1,7,,,1,0,7
25505,2020048056,39.980788,-77.569165,28,28203,6,4,,,1,0,7
25508,2020085157,39.91442,-75.15306,67,67301,10,6,,,0,1,4
25515,2020056126,39.86812,-79.738657,26,26218,6,3,,,1,1,2
25517,2020017502,40.387728,-79.822387,2,2111,2,7,,,1,0,4
25533,2020055293,40.063099,-75.051637,67,67301,7,6,,,1,1,4
25540,2020051053,40.225694,-75.932417,9,9412,6,3,,,1,0,98
25569,2020054456,39.996144,-75.202039,67,67301,7,6,,,1,0,7
25587,2020086122,40.274433,-76.872575,22,22301,10,7,,,0,1,8
25609,2020053114,40.53626,-78.357783,7,7210,6,6,,,0,2,2
25613,2020050653,40.374641,-75.926926,6,6102,6,5,,,0,1,8
25642,2020053517,41.076306,-79.466795,16,16221,6,4,,,0,1,7
25648,2020053828,39.797947,-77.065291,1,1221,5,7,,,0,3,4
25657,2020054260,39.96902,-75.184017,67,67301,7,3,,,0,1,8
25673,2020055904,40.32756,-75.921139,6,6301,7,5,,,1,0,7
25703,2020084409,40.752975,-75.197567,48,48205,10,6,,,0,2,7
25737,2020055021,40.054322,-76.218233,36,36215,5,7,,,1,0,7
25764,2020056738,40.344438,-79.88422,2,2433,7,1,,,1,0,7
25773,2020054827,40.419363,-75.926549,6,6228,7,6,,,2,2,1
25812,2020055785,40.647565,-75.414828,39,39302,6,2,,,0,1,7
25818,2020054944,42.014414,-80.290714,25,25207,7,5,,,1,0,2
25822,2020007091,40.170003,-74.850884,9,9101,1,7,,,1,0,7
25883,2020026651,40.349223,-75.942448,6,6301,3,1,,,2,0,4
25895,2020085083,40.065709,-75.321084,46,46424,9,1,,,1,0,7
25897,2020043629,40.348308,-76.427356,38,38301,6,5,,,0,1,4
25932,2020026234,40.971638,-76.607678,47,47206,3,3,,,1,0,4
25943,2020050814,41.323447,-75.790022,40,40303,6,2,,,1,0,4
25960,2020052120,40.447475,-75.842115,6,6232,6,3,,,1,0,4
25991,2020055875,39.907638,-75.286591,23,23405,7,5,,,1,1,4
26008,2020055416,41.472473,-75.550558,35,35417,7,5,,,1,0,7
