,CRN,STREET_NAME
179227,2019076642,BRINKER RD
179231,2019100713,FARRAR SCHOOL RD
179284,2019126325,FRONT ST
179285,2019126325,ERIE AV
179330,2019089211,MOREY RD
179346,2019101613,LOWER YORK RD
179364,2019018808,LINCOLN HW
179433,2019067883,BRANCH RD
179447,2019095978,LEHIGH AV
179448,2019095978,TWELFTH ST
179462,2019105761,BERMUDA ST
179463,2019105761,ORTHODOX ST
179490,2019131007,QUENTIN RD
179491,2019131007,COLEBROOK RD
179507,2019123887,CASTOR AV
179508,2019123887,CASTOR AV
179509,2019123887,COMLY ST
179564,2019128560,PENN LINCOLN PY
179567,2019082673,EDNA RD
179571,2019084265,ARAMINGO AV
179572,2019084265,ARAMINGO AV
179573,2019084265,VENANGO ST
179620,2019107564,MONTGOMERY ST
179621,2019107564,31ST ST
179629,2019053285,BIRCH DR
179630,2019053285,RIDGE PK
179641,2019084856,CONESTOGA BL
179664,2019030946,W CHRISTINE RD
179671,2019030668,SR 0044 HW
179745,2019003628,WILLIAM PENN HW
179800,2019090095,GOOD HOPE RD
179809,2019067540,CHESTER PK
179813,2019092213,LANCASTER PK
179990,2019039835,ASPEN ST
179991,2019039835,44TH ST
180010,2019027640,PENN LINCOLN PY
180015,2019053598,BALTIMORE AV
180016,2019053598,BUTLER ST
180070,2019076322,N 7TH ST
180110,2019084246,BURRELL ST
180115,2019068179,BROAD ST
180116,2019068179,BROAD ST
180117,2019068179,DELAWARE AV
180142,2019114894,MAIN ST
180197,2019096873,STATE ST
180198,2019096873,STATE ST
180199,2019096873,RAMP D RD
180348,2019011705,POST RD
180349,2019011705,4TH ST
180350,2019011705,BOOTH ST
180354,2019094161,NEW HW
180442,2019120636,BIG SPRING RD
180443,2019120636,CENTER SQUARE RD
180501,2019061622,CORAOPOLIS BL
180502,2019061622,GROVETON INT/RAMP A RD
180549,2019037939,POTTSTOWN PK
180550,2019037939,POTTSTOWN PK
180551,2019037939,UWCHLAN AV
180552,2019037939,UWCHLAN AV
180553,2019075260,WATERLOO RD
180554,2019075260,OLD LANCASTER RD
180603,2019094288,SCHOOL RD
180604,2019094288,UNIONVILLE PK
180644,2019100340,LLOYD AV
180645,2019100340,MONASTERY DR
180652,2019002324,KENSINGTON AV
180673,2019066332,MAIN ST
180675,2019043203,TWIN LAKES RD
180766,2019001338,DARBY PAOLI RD
180776,2019104014,PITTSBURGH RD
180839,2019056428,PIERCE ST
180889,2019047666,THIRTEENTH ST
180893,2019117817,RIVER MILL RD
180894,2019117817,OLD FORT RD
180906,2019015297,MALL DR
180920,2019008106,RAYMOND P SHAFFER HW
180977,2020014507,MERION AV
180978,2020014507,45TH ST
180979,2020008730,BEDFORD ST
180995,2019112690,CHESTNUT ST
180996,2019112690,THIRD ST
181055,2019086146,BROAD ST
181191,2019051965,RAMP D RD
181217,2019087120,SR 0247 HW
181270,2019054994,CORAOPOLIS HEIGHTS RD
181297,2019093937,MAIN ST
181298,2019084010,BROAD ST
181299,2019084010,BROAD ST
181300,2019084010,CHEW AV
181368,2019058825,STREET RD
181380,2019035928,AIRPORT RD
181381,2019035928,JADE LN
181382,2019035928,DOGWOOD RD
181484,2019056092,LIMEKILN RD
181522,2019090993,LC TO MON AV
181523,2019090993,MONONGAHELA AV
181573,2019126135,CENTRE AV
181658,2019077471,VETERANS RD
181690,2019014255,
181800,2019121252,PHILMONT AV
181835,2019124190,MAIN ST
181922,2019024716,BRISTOL EMILIE RD
181923,2019024716,CINDER LN
181942,2019133057,BETHANY HW
182001,2019132745,FORGE RD
182002,2019132745,UNION SQUARE RD
182021,2019109968,NEELY RD
182023,2019121476,TORRESDALE AV
182343,2019022334,Z H CONFAIR MEMORIAL HW
182350,2019075752,YORK RD
182351,2019075752,YORK RD
182352,2019075752,OLD YORK RD
182353,2019075752,OLD YORK RD
182354,2019075752,COUNTY LINE RD
182355,2019075752,COUNTY LINE RD
182386,2019059949,STOUTS RD
182413,2019015085,DWIGHT D EISENHOWER HW
182498,2019054165,BETHLEHEM PK
182499,2019054165,BETHLEHEM PK
182500,2019054165,TREWIGTOWN RD
182511,2019056012,SPRINGFIELD PK
182596,2019012814,COLUMBIA BL
182626,2019114159,BRODHEAD RD
182683,2019036525,BUFFALO RD
182771,2019029687,SHOEMAKER ST
182872,2019070155,ELLIS RD
182873,2019070155,AAR 523923T RR
182987,2019059776,DUFFY RD
182988,2019059776,MCBRIDE RD
183018,2019010398,OXFORD VALLEY RD
183019,2019010398,OXFORD VALLEY RD
183020,2019010398,HASKALL RD
183028,2019022194,CHAMBERSBURG RD
183029,2019022194,CASHTOWN RD
183065,2019097972,SR 0079 HW
183196,2019009503,OHIO RIVER BL
183218,2019096054,MOORE ST
183271,2019036677,SUPPLEE RD
183272,2019036677,GARFIELD AV
183301,2019089965,LOCUST ST
183390,2019106411,DOWNINGTOWN PK
183391,2019106411,N CREEK RD
183464,2019100489,SUNBURY RD
183465,2019100489,DEEP CREEK RD
183483,2019042844,SR 0077 RD
183515,2019007803,TWELFTH ST
183516,2019007803,TWELFTH ST
183517,2019007803,TWELFTH ST
183518,2019007803,W 12TH ST
183519,2019007803,SASSAFRAS ST
183546,2019126120,ROOSEVELT BL
183547,2019126120,NINTH ST
183548,2019135067,MENOHER HW
183549,2019023079,SPRING ST
183550,2019023079,MADISON AV
183579,2019110262,S REAMSTOWN RD
183585,2020003591,SR 0066 HW
183611,2019053219,RESICA FALLS RD
183612,2019053219,CHATEAU DR
183674,2019074217,BRISTOL PK
183686,2019119724,MORRIS RD
183687,2019119724,PLYMOUTH RD
183707,2019036336,LINCOLN HW
183730,2019068069,FOURTH ST
183731,2019068069,4TH ST
183746,2019008713,BYBERRY RD
183832,2020006856,YOST AV
183833,2020006856,WALL ST
183886,2019113624,BOWERS BRIDGE RD
183968,2019107379,SUNSET HOLLOW RD
183998,2019038697,WEST EVERGREEN DR
184007,2019068932,CREEKVIEW RD
184008,2019076205,MOUNTAIN RD
184036,2019046764,SECOND ST
184037,2019046764,RAMP RD
184043,2023037904,WILLIAM PENN HW
184048,2019124789,THOMAS EIGHTY FOUR RD
184062,2019041265,HAMILTON EAST RD
184063,2019041265,RAMP B RD
184081,2019129792,KACHEL RD
184196,2019024119,PITTSBURGH RD
184197,2019024119,RAMP B RD
184233,2019090286,LINCOLN DR
184280,2019131905,RIVER RD
184294,2019015802,HIGH ST
184295,2019015802,HIGH ST
184296,2019015802,BEECH ST
184378,2019062897,OLEY TURNPIKE RD
184398,2019030711,COL DRAKE HW
184400,2019040117,BODLE RD
184473,2019084428,FORWARD AV INT./RAMP D RD
184474,2019084320,WYOMING ST
184475,2019084320,8TH ST
184491,2019091921,NEGLEY AV
184492,2019091921,5TH AV
184521,2019108282,OHIO RIVER BL
184602,2019084038,CLEARVIEW RD
184608,2019040558,RIDGE PK
184613,2019121631,WILLIAM PENN HW
184626,2019092105,BENJAMIN FRANKLIN HW
184627,2019092105,BENJAMIN FRANKLIN HW
184628,2019092105,GIBRALTAR RD
184639,2019072853,LEWISVILLE RD
184742,2019049217,PLEASANT VALLEY BL
184743,2019049217,CAMPBELLS LN
184744,2019049217,SKELP MOUNTAIN RD
184769,2019130087,MARSHALLS CREEK RD
184791,2020001634,ROOSEVELT BL
184792,2020001634,BUSTLETON AV
184793,2020001634,BUSTLETON AV
184917,2019090623,GRUBB RD
184957,2019027054,SR 0309 HW
184958,2019027054,RAMP RE RD
184959,2019071363,MAIN ST
185043,2019101189,CANAL ST
185044,2019129529,AMERICAN LEGION MEM HW
185102,2019041496,PITTSBURGH ST
185141,2019051628,27TH ST
185154,2019135591,STOOPS FERRY RD
185155,2019135591,UNIVERSITY BL
185156,2019135591,UNIVERSITY BL
185195,2019083055,LEHIGH AV
185248,2019046491,SR 0285 RD
185249,2019046491,CHURCH RD
185250,2019079397,SR 0079 HW
185334,2019085385,POTOMAC ST
185335,2019085385,3RD ST
185337,2019061558,AMERICAN LEGION MEM HW
185360,2019065239,EAST/WEST TU
185374,2019038835,5TH ST
185375,2019038835,SPRUCE ST
185385,2019118301,62ND ST
