,CRN,AGE,SEX,INJ_SEVERITY,UNIT_NUM,PERSON_TYPE
11537,2022045417,99,U,9.0,1,1.0
11538,2022045417,22,M,1.0,2,7.0
11602,2022063506,21,F,2.0,1,1.0
11603,2022063506,20,M,4.0,2,1.0
11623,2022091988,51,M,0.0,1,1.0
11624,2022091988,71,F,2.0,2,7.0
11637,2022036997,56,F,3.0,1,1.0
11638,2022036997,42,F,2.0,2,1.0
11639,2022036997,11,F,3.0,2,2.0
11640,2022036997,9,F,3.0,2,2.0
11643,2022048191,56,M,2.0,1,1.0
11667,2022088290,64,M,0.0,1,1.0
11668,2022088290,33,M,2.0,2,1.0
11682,2022092534,21,F,0.0,1,1.0
11683,2022092534,36,F,2.0,2,7.0
11733,2023000448,33,M,0.0,1,1.0
11734,2023000448,10,M,2.0,2,7.0
11762,2022106287,93,M,0.0,1,1.0
11763,2022106287,62,M,2.0,2,4.0
11764,2022113976,16,M,2.0,1,1.0
11841,2022048523,18,M,2.0,1,1.0
11842,2022048523,16,M,8.0,1,2.0
11844,2022063989,61,M,2.0,1,1.0
11931,2022079337,22,F,2.0,1,1.0
11932,2022079337,23,F,3.0,1,2.0
11933,2022079337,33,M,3.0,2,1.0
11934,2022079337,29,F,0.0,2,2.0
11991,2022059165,39,M,1.0,1,1.0
12061,2022042012,60,M,0.0,1,1.0
12062,2022042012,64,M,0.0,2,1.0
12063,2022042012,63,F,0.0,2,2.0
12064,2022042012,90,F,1.0,2,2.0
12065,2022042012,39,M,0.0,3,1.0
12066,2022042012,28,F,0.0,4,1.0
12076,2022049517,34,M,4.0,1,1.0
12077,2022049517,31,M,2.0,2,1.0
12078,2022049517,99,U,9.0,3,1.0
12080,2022022542,21,M,1.0,1,1.0
12089,2022121891,59,F,2.0,1,1.0
12132,2022110539,30,M,2.0,1,1.0
12133,2022110539,5,F,3.0,1,2.0
12134,2022110539,2,M,3.0,1,2.0
12135,2022110539,46,M,0.0,2,1.0
12154,2022079746,99,U,9.0,1,1.0
12155,2022079746,19,U,2.0,2,1.0
12196,2022013280,29,M,2.0,1,1.0
12213,2022075632,71,M,0.0,1,1.0
12214,2022075632,44,M,1.0,2,7.0
12261,2022078178,40,M,2.0,1,1.0
12262,2022078178,41,F,2.0,2,1.0
12287,2022096250,21,M,2.0,1,1.0
12311,2022085065,37,M,2.0,1,1.0
12312,2022085065,79,F,0.0,2,1.0
12316,2022036833,31,M,0.0,1,1.0
12317,2022036833,48,M,2.0,2,7.0
12394,2022070538,45,M,2.0,1,1.0
12421,2022055950,57,F,2.0,1,1.0
12422,2022055950,41,M,8.0,2,1.0
12423,2022055950,59,F,8.0,2,2.0
12435,2022090701,68,M,0.0,1,1.0
12436,2022090701,36,M,2.0,1,2.0
12437,2022090701,47,M,0.0,2,1.0
12569,2022112565,23,M,2.0,1,1.0
12673,2022088101,43,M,0.0,1,1.0
12674,2022088101,16,F,2.0,2,7.0
12747,2022045419,27,M,4.0,1,1.0
12748,2022045419,24,F,3.0,2,1.0
12749,2022045419,26,F,3.0,2,2.0
