CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6446877,2,1,N,F,74,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2012,HONDA,A,01,,W,,-,-,2014
92268698,1,1,Y,M,54,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,I,2005,DODG,D,22,,W,,-,-,2023
92268698,2,1,N,M,78,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2017,HYUN,A,01,,W,,-,-,2023
9247708,1,4,Y,M,32,B,E,N,-,-,,-,3,-,,23,21453,A,A,-,0,1,B,,-,L,04,,B,,-,-,2021
9247708,2,1,N,M,54,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1998,-,A,01,,A,,-,-,2021
6475347,1,1,Y,M,52,D,-,S,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,J,2008,TRIUMPH,C,02,,W,,-,-,2014
6475347,2,1,N,M,39,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2010,FORD,A,08,,O,,-,-,2014
6475347,3,1,N,M,32,A,-,S,M,G,Y,-,3,-,-,"- ",,,G,-,0,0,B,2009,NISSAN,A,01,,W,,-,-,2014
6475347,4,1,N,F,37,A,-,S,M,G,Y,-,3,-,-,"- ",,,G,-,0,0,A,2003,CHEVROLET,A,07,,W,,-,-,2014
6479220,1,2,Y,F,50,D,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2014
6479220,2,1,N,M,70,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1999,TOYOTA,D,22,,H,,-,-,2014
6485425,1,1,Y,F,60,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2011,HONDA,A,07,,A,,-,-,2014
6485425,2,1,N,M,21,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2003,YAMAHA,C,02,,H,,-,-,2014
6486531,1,1,Y,F,49,A,-,W,M,G,Y,-,-,-,-,"- ",,,-,-,0,1,E,2004,TOYOTA,A,01,,O,,-,-,2014
6486531,2,1,N,M,43,A,-,N,L,G,Y,-,-,-,-,"- ",,,-,-,0,1,B,2000,TOYOTA,D,22,,A,,-,-,2014
6492994,1,1,Y,F,75,A,-,W,M,U,Y,-,3,-,,31,22107,,A,-,0,0,M,1958,MERCEDES-BENZ,A,01,,W,,-,-,2014
6492994,2,1,N,M,31,A,-,W,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2001,HARLEY-DAVIDSON,C,02,,W,,-,-,2014
6492994,3,1,N,M,33,A,-,W,P,W,Y,-,3,-,-,"- ",,,N,-,0,2,B,2002,HARLEY-DAVIDSON,C,02,,W,,-,-,2014
6499847,1,1,Y,F,17,A,I,S,L,G,Y,-,3,-,-,"- ",,,H,-,0,2,B,2013,HYUNDAI,A,01,,A,,-,-,2014
6499847,2,3,N,-,998,-,,-,-,-,O,-,-,-,-,"- ",,,-,-,0,0,-,1996,FREIGHTLINER,F,26,,,,-,-,2014
6499847,3,3,N,-,998,-,-,-,-,-,O,-,-,-,-,"- ",,,F,-,0,0,-,2008,PETERBILT,F,26,,,K,-,-,2014
6501657,1,1,Y,M,47,B,-,N,P,W,N,-,3,-,,31,22107,,A,N,0,1,R,1983,HONDA,C,02,,W,,-,-,2014
9259259,1,5,Y,M,25,G,G,N,-,-,O,-,3,-,,20,23152,B,A,N,0,1,L,,-,-,,,B,,-,-,2021
