crash_id,veh_num,make,model,body_type
201901016849,2,2017 HYUN,ELN,Passenger
201901017976,1,1992 CHEV,(UNK),Pickup
201901017995,2,2018 HOND,FIT,Passenger
201901017739,1,2006 CHEV,CBT,Passenger
201901017507,1,2008 FORD,FOC,Passenger
201901017587,1,2005 SCIO,XB ,Passenger
201901017001,1,2007 CHEV,CBT,Passenger
201901018727,2,2004 CHEV,AVO,Passenger
201901017316,1,1998 OLDS,8LS,Passenger
201901017380,1,2000 MERZ,ML3,SUV
201901017995,3,2017 KIA ,FRT,Passenger
201901017995,1,2005 GMC ,ENV,SUV
201901019615,1,2004 CHEV,TBZ,SUV
201901019020,3,2011 CHEV,MUL,Passenger
201901018207,1,2007 CHEV,TOE,SUV
201901018125,2,1998 CHEV,BLZ,SUV
201901019153,1,2007 DODG,CVN,Passenger
201901018252,2,(UNK) TOYT,CAM,Passenger
201901018803,1,2007 HOND,ALX,Passenger
201901019579,2,(UNK) (UNK),(UNK),Pickup
201901018171,1,2006 PONT,GRA,Passenger
201901018171,2,2014 HOND,CRV,Passenger
201901018207,2,2003 ACUR,ATL,Passenger
201901018252,1,(UNK) HYUN,GEN,Passenger
201901019020,2,2013 FORD,EC1,Van/Mini-Van
201901019065,1,2016 FRHT,(UNK),Tractor With Semi-Trailer
201901020381,2,2016 FORD,F23,Pickup
201901018803,2,2001 ACUR,CL ,Passenger
201901018887,1,2004 JEEP,LBY,SUV
201901019315,1,2017 CHEV,CRZ,Passenger
201901019321,1,(UNK) UNKN,UNK,Unknown
201901020707,1,2007 MITS,UNK,Truck Single Unit
201901018887,2,2007 MERZ,M35,SUV
201901019452,1,2013 (UNK),(UNK),ATV
201901018598,1,2001 FORD,EPD,SUV
201901020885,2,2003 BMW ,325,Passenger
201901019153,2,2008 (UNK),(UNK),Other
201901019223,1,2001 CHEV,S10,Pickup
201901019249,1,2017 NISS,RGE,SUV
201901021155,1,2014 FORD,EC3,Van/Mini-Van
201901021155,2,2017 MAZD,M6 ,Passenger
201901019321,2,2009 NISS,RGE,SUV
201901019665,2,2001 NISS,ALT,Passenger
201901019296,1,2005 CHRY,CRU,Passenger
201901019315,2,2010 CHEV,TOE,Passenger
201901019493,1,2017 DODG,CHA,Passenger
201901019530,1,2007 JEP ,(UNK),Passenger
