Crash Number,City Town Name,Crash Date,Crash Status,Crash Time,Number of Vehicles,Total Fatalities,County Name,Hit and Run,Vehicle Sequence of Events (All Vehicles),Latitude,Longitude,Street Number,Roadway,Near Intersection Roadway,Vehicle Unit Number,Vehicle Make,Vehicle Model,Vehicle Model Year,Driver Violation Code,Person Number,Age,Ejected Description,Injury Type,Person Type,Sex
4132670,SPRINGFIELD,01/04/2016,Closed,3:54 PM,2.0,0.0,HAMPDEN,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.13006296,-72.54425784,, PEER ST / CLORAN ST,,1.0,FORD,,2000.0,(90 14),1.0,46.0,Not ejected,No injury,Driver,F - Female
4132670,SPRINGFIELD,01/04/2016,Closed,3:54 PM,2.0,0.0,HAMPDEN,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.13006296,-72.54425784,, PEER ST / CLORAN ST,,2.0,CHEV,,2001.0,,2.0,17.0,Totally ejected,Non-fatal injury - Incapacitating,Passenger,F - Female
4132670,SPRINGFIELD,01/04/2016,Closed,3:54 PM,2.0,0.0,HAMPDEN,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.13006296,-72.54425784,, PEER ST / CLORAN ST,,2.0,CHEV,,2001.0,,3.0,24.0,Totally ejected,Non-fatal injury - Incapacitating,Passenger,F - Female
4132670,SPRINGFIELD,01/04/2016,Closed,3:54 PM,2.0,0.0,HAMPDEN,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.13006296,-72.54425784,, PEER ST / CLORAN ST,,2.0,CHEV,,2001.0,,4.0,19.0,Not ejected,Non-fatal injury - Possible,Passenger,M - Male
4132670,SPRINGFIELD,01/04/2016,Closed,3:54 PM,2.0,0.0,HAMPDEN,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.13006296,-72.54425784,, PEER ST / CLORAN ST,,2.0,CHEV,,2001.0,,5.0,12.0,Not ejected,Non-fatal injury - Non-incapacitating,Passenger,F - Female
4132670,SPRINGFIELD,01/04/2016,Closed,3:54 PM,2.0,0.0,HAMPDEN,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.13006296,-72.54425784,, PEER ST / CLORAN ST,,2.0,CHEV,,2001.0,,6.0,46.0,Totally ejected,Non-fatal injury - Incapacitating,Driver,F - Female
4132792,ABINGTON,01/06/2016,Closed,7:28 AM,2.0,0.0,PLYMOUTH,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.10256212,-70.94926023,, WASHINGTON ST / VERNON ST,,1.0,TOYT,,1998.0,(89 8),1.0,52.0,Not ejected,No injury,Driver,M - Male
4132792,ABINGTON,01/06/2016,Closed,7:28 AM,2.0,0.0,PLYMOUTH,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.10256212,-70.94926023,, WASHINGTON ST / VERNON ST,,2.0,TOYT,,1996.0,,2.0,42.0,Not ejected,Non-fatal injury - Incapacitating,Driver,M - Male
4133019,ANDOVER,01/06/2016,Closed,4:49 PM,2.0,0.0,ESSEX,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.6266428,-71.17556599,, CARDINAL LANE / DASCOMB ROAD / SURREY LANE,,1.0,NISS,,2016.0,,1.0,25.0,Not ejected,Non-fatal injury - Incapacitating,Driver,F - Female
4133019,ANDOVER,01/06/2016,Closed,4:49 PM,2.0,0.0,ESSEX,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.6266428,-71.17556599,, CARDINAL LANE / DASCOMB ROAD / SURREY LANE,,2.0,CHEV,,2007.0,(89 8),2.0,43.0,Not ejected,No injury,Driver,F - Female
