id,vehicle_number,year,make,model,hit_run
2008022308-08181,1,1995,JEEP,4 D, 
2008022308-08181,2,2005,BMW,4 DR, 
2008022308-13175,1,2007,HYUNDAI,WAGON, 
2008022308-13175,2,2005,CHEVROLET,VAN, 
2008022308-13175,3,2003,INTERNATIONAL,TRUCK, 
2008022308-15487,1,2006,DODGE,CHARGER, 
2008022308-29906,1,2007,FORD,EXP, 
2008022308-29906,2,2000,DODGE,GRA, 
2008022308-552,1,2005,FORD,P71, 
2008022308-552,2,1993,NISSAN,4 DR, 
200802230801858,1,1998,HYUNDAI,FIA, 
200802230824609,1,2005,BMW,325, 
200802230824844,1,2000,YAMAHA,RG, 
200802230829706,1,2000,SUBARU,FOREST, 
20080224A08-24,1,2007,CHRYSLER,SEA, 
20080225I-2008-03903,1,2001,DODGE,STR, 
20080225I-2008-03903,2,2008,JEEP,GRA, 
20080225I-2008-10219,1,1992,SUZUKI,SIK, 
20080225I-2008-11529,1,2006,CHEVROLET,SUBN, 
20080225I-2008-11529,2,2002,TOYOTA,CAMRY, 
2008022908-11214-280,1,2000,TOYOTA,4 DR, 
2008022908-11214-280,2,2005,HYUNDAI,2 DR, 
2008022908-12906-310,1,1999,CHEVROLET,4 DR, 
200802312008-004379,1,2003,HONDA,ACCORD, 
200802322008-003025,1,1997,CHEVROLET,CAM, 
2008023308-24346,1,1999,NISSAN,4DR, 
2008023308-26238,1,2002,DODGE,DURANGO, 
2008023308-26238,2,2001,FORD,E45, 
2008023308-26238,3,2007,MAZDA,CX7, 
2008023308-6760,1,2005,CHEVROLET,TRAILBL, 
2008023308-9928,1,2006,DODGE,4 DR, 
20080233B060200800295A,1,2006,GMC,ENVOY, 
20080233B060200800295A,2,2000,PETERBILT,CUSTOM XL, 
20080233B060200800295A,3,2005,KENWORTH,T200, 
200802342008-003870,1,2008,HUM,FXC, 
200802342008-003870,2,2005,FORD,E35, 
20080235MP-002664-08,1,2001,DODGE,RAM, 
20080235MP-002664-08,2,2008,HONDA,CBR, 
20080235MP-002664-08,3,1992,TOYOTA,CAM, 
2008023608-082,1,2007,CHEVROLET,35?HD, 
2008023608-082,2,0   ,MACK,MR686S, 
20080237M-08-04,1,2008,HARLEY DAVIDSON,SPORSTER, 
20080237M-08-59,1,2007,PONTIAC,VIBE, 
20080237M-08-59,2,2004,FORD,ECONOLINE, 
2008023908-3456,1,1994,FORD,TAURUS, 
2008023908-3456,2,2005,FORD,TRK-350, 
2008024008-25307,1,2005,FORD,CROWN VIC, 
2008024108-17316,1,2004,FORD,CROWN VICTORIA, 
20080241128-08,1,2007,LEXUS,ES, 
2008024308-MV-12,1,2003,NISSAN,SENTRA, 
2008024308-MV-12,2,1996,NISSAN,MAXIMA, 
2008024408-1337,1,2000,DODGE,DURANGO, 
2008024408-1337,2,1995,MERCURY,COUGAR, 
2008024508-12091,1,0   ,,, 
2008024508-1468,1,2005,HONDA,PRI, 
2008024508-2147,1,2001,TOYOTA,4DR, 
2008024508-2147,2,2000,LINCOLN,4DR, 
2008024608-15304,1,1999,SAAB,504, 
2008024608-15304,2,2004,CHEVROLET,VAN, 
2008024608-17763,1,2000,LEXUS,ES, 
2008024608-17763,2,2001,MITSUBISHI,ECL, 
2008024608-17763,3,2006,AUDI,A4, 
2008024608-23710,1,2002,TOYOTA,COR, 
2008024608-23710,2,2005,FORD,FOC, 
2008024608-37097,1,2002,BMW,330, 
2008024608-42235,1,2004,JAGUAR,X-T, 
2008024608-46982,1,1999,MITSUBISHI,ECLIPSE, 
2008024608-48127,1,2008,TOYOTA,XD, 
2008024608-49072,1,2007,LINCOLN,TOWN CAR, 
2008024608-4986,1,2006,CHEVROLET,MON, 
2008024608-6747,1,1998,FORD,CONTOUR, 
200802461-2008-004465,1,1994,HONDA,ACCORD, 
200802461-2008-004465,2,2007,YAMAHA,, 
200802482008-5774,1,2006,AUDI,A4, 
200802492008-010273,1,1999,TOYOTA,COROLLA, 
2008025008-14192,1,1989,CHEVROLET,CAV, 
2008025008-7346,1,2005,YAMAHA,R?L, 
2008025108-011826,1,1993,FORD,4 DR, 
2008025108-011826,2,1990,TOYOTA,COR, 
2008025108-11902,1,2006,LAND ROVER,WAGON, 
2008025108-18994,1,2001,TOYOTA,4DR, 
2008025108-19473,1,2005,,MTRHM, 
2008025108-6847,1,2000,CHRYSLER,4DR, 
2008025208-07543,1,2008,VOLKSWAGEN,JETTA,Y
200802532008-004291,1,2007,HONDA,CR-V, 
200802532008-004291,2,1989,FORD,384, 
200802532008-004291,3,1997,FORD,TRK, 
200802542008-008909,1,1999,HONDA,CIVIC, 
200802542008-008909,2,2006,TOYOTA,SIENNA, 
200802542008-010766,1,2002,HYUNDAI,SAN, 
200802542008-012546,1,2004,PONTIAC,4 DR., 
200802542008-012546,2,1994,HONDA,2 DR, 
200802542008-012546,3,2007,ACURA,4 DR., 
200802542008-012546,4,2005,ACURA,4 DR., 
200802542008/007369,1,2004,NISSAN,ALT. 4 DOOR, 
2008025608-7599,1,2004,VOLKSWAGEN,JETTA, 
2008025608-7599,2,1995,MACK,, 
200802562008-011403,1,1997,TOYOTA,CAMRY, 
2008025708-04992,1,2004,CADILLAC,CTS, 
2008025708-04992,2,2005,MERCEDES BENZ,C320, 
2008025708-05319,1,0   ,MCI,BUS, 
2008025708-4840,1,1988,MAZDA,323, 
20080258200806695,1,2007,HONDA,4DR, 
2008026008-026067,1,1997,ACURA,TL, 
2008026008-046765,1,0   ,HONDA,CBR900, 
2008026008-25725,1,1995,HONDA,ACCORD, 
2008026008-25725,2,1980,DAIHATSU,280ZX, 
2008026008-25725,3,2007,HONDA,ACCORD, 
2008026008-25725,4,2007,AUDI,A4, 
2008026008058166,1,1999,MERCURY,SABLE, 
20080260PD-08-031962,1,1999,HARLEY DAVIDSON,FLH, 
20080260PD-08-031962,2,2005,DODGE,CVN, 
20080261TY-08-01884,1,1996,HONDA,ACCORD, 
2008026308-013,1,2008,AUDI,Q7, 
2008026308-013,2,1997,NISSAN,MAX, 
200802642008-2124,1,1996,TOYOTA,PU, 
